benchmark,file,mode,baseline_mode,qor,cuts_used,candidate_cuts,cpu_time,post_ml_time,qor_baseline,cuts_used_baseline,candidate_cuts_baseline,cpu_time_baseline,post_ml_time_baseline,qor_delta_vs_baseline,cuts_used_delta_vs_baseline,candidate_cuts_delta_vs_baseline,candidate_cuts_ratio_vs_baseline,cpu_time_delta_vs_baseline,cpu_time_ratio_vs_baseline,post_ml_time_delta_vs_baseline,post_ml_time_ratio_vs_baseline
styr.blif,/home/ayush/abc/blif/styr.blif,1,0,585.0,572,2678,5602.0,2594.0,585.0,572,3562,3747.0,1945.0,0.0,0,-884,0.7518248175182481,1855.0,1.4950627168401387,649.0,1.333676092544987
styr.blif,/home/ayush/abc/blif/styr.blif,2,0,585.0,572,2303,5944.0,2699.0,585.0,572,3562,3747.0,1945.0,0.0,0,-1259,0.6465468837731612,2197.0,1.5863357352548706,754.0,1.3876606683804626
styr.blif,/home/ayush/abc/blif/styr.blif,3,0,585.0,572,1841,4717.0,2137.0,585.0,572,3562,3747.0,1945.0,0.0,0,-1721,0.5168444693992139,970.0,1.25887376567921,192.0,1.098714652956298
sub_tile_directs.blif,/home/ayush/abc/blif/sub_tile_directs.blif,0,0,,,,,,,,,,,,,,,,,,
sub_tile_directs.blif,/home/ayush/abc/blif/sub_tile_directs.blif,1,0,,,,,,,,,,,,,,,,,,
sub_tile_directs.blif,/home/ayush/abc/blif/sub_tile_directs.blif,2,0,,,,,,,,,,,,,,,,,,
sub_tile_directs.blif,/home/ayush/abc/blif/sub_tile_directs.blif,3,0,,,,,,,,,,,,,,,,,,
sub_tiles.blif,/home/ayush/abc/blif/sub_tiles.blif,0,0,,,,,,,,,,,,,,,,,,
sub_tiles.blif,/home/ayush/abc/blif/sub_tiles.blif,1,0,,,,,,,,,,,,,,,,,,
sub_tiles.blif,/home/ayush/abc/blif/sub_tiles.blif,2,0,,,,,,,,,,,,,,,,,,
sub_tiles.blif,/home/ayush/abc/blif/sub_tiles.blif,3,0,,,,,,,,,,,,,,,,,,
t481.blif,/home/ayush/abc/blif/t481.blif,0,0,520.0,498,4605,4638.0,2164.0,520.0,498,4605,4638.0,2164.0,,,,,,,,
t481.blif,/home/ayush/abc/blif/t481.blif,1,0,520.0,498,2770,5367.0,2009.0,520.0,498,4605,4638.0,2164.0,0.0,0,-1835,0.6015200868621065,729.0,1.1571798188874516,-155.0,0.928373382624769
t481.blif,/home/ayush/abc/blif/t481.blif,2,0,520.0,498,2276,5455.0,2052.0,520.0,498,4605,4638.0,2164.0,0.0,0,-2329,0.49424538545059715,817.0,1.176153514445882,-112.0,0.9482439926062847
t481.blif,/home/ayush/abc/blif/t481.blif,3,0,520.0,498,1734,5509.0,2096.0,520.0,498,4605,4638.0,2164.0,0.0,0,-2871,0.37654723127035833,871.0,1.1877964639931005,-68.0,0.9685767097966729
table3.blif,/home/ayush/abc/blif/table3.blif,0,0,1335.0,1320,12289,13279.0,5700.0,1335.0,1320,12289,13279.0,5700.0,,,,,,,,
table3.blif,/home/ayush/abc/blif/table3.blif,1,0,1335.0,1320,7400,16689.0,5582.0,1335.0,1320,12289,13279.0,5700.0,0.0,0,-4889,0.6021645373911628,3410.0,1.2567964455154756,-118.0,0.9792982456140351
table3.blif,/home/ayush/abc/blif/table3.blif,2,0,1335.0,1320,6120,16630.0,5803.0,1335.0,1320,12289,13279.0,5700.0,0.0,0,-6169,0.4980063471397185,3351.0,1.2523533398599291,103.0,1.0180701754385966
table3.blif,/home/ayush/abc/blif/table3.blif,3,0,1335.0,1320,4756,15920.0,5377.0,1335.0,1320,12289,13279.0,5700.0,0.0,0,-7533,0.38701277565302306,2641.0,1.1988854582423376,-323.0,0.9433333333333334
table5.blif,/home/ayush/abc/blif/table5.blif,0,0,1406.0,1388,13071,13931.0,5833.0,1406.0,1388,13071,13931.0,5833.0,,,,,,,,
table5.blif,/home/ayush/abc/blif/table5.blif,1,0,1406.0,1388,7714,18020.0,6160.0,1406.0,1388,13071,13931.0,5833.0,0.0,0,-5357,0.590161426057685,4089.0,1.2935180532625081,327.0,1.0560603463055032
table5.blif,/home/ayush/abc/blif/table5.blif,2,0,1406.0,1388,6360,13188.0,4476.0,1406.0,1388,13071,13931.0,5833.0,0.0,0,-6711,0.4865733302731237,-743.0,0.9466657095685881,-1357.0,0.7673581347505571
table5.blif,/home/ayush/abc/blif/table5.blif,3,0,1406.0,1388,4944,13371.0,4570.0,1406.0,1388,13071,13931.0,5833.0,0.0,0,-8127,0.3782419095708056,-560.0,0.9598018806977245,-1263.0,0.7834733413337905
tav.blif,/home/ayush/abc/blif/tav.blif,0,0,19.0,16,59,183.0,56.0,19.0,16,59,183.0,56.0,,,,,,,,
tav.blif,/home/ayush/abc/blif/tav.blif,1,0,19.0,16,59,329.0,101.0,19.0,16,59,183.0,56.0,0.0,0,0,1.0,146.0,1.7978142076502732,45.0,1.8035714285714286
tav.blif,/home/ayush/abc/blif/tav.blif,2,0,19.0,16,59,225.0,65.0,19.0,16,59,183.0,56.0,0.0,0,0,1.0,42.0,1.2295081967213115,9.0,1.1607142857142858
tav.blif,/home/ayush/abc/blif/tav.blif,3,0,19.0,16,47,245.0,74.0,19.0,16,59,183.0,56.0,0.0,0,-12,0.7966101694915254,62.0,1.3387978142076502,18.0,1.3214285714285714
tbk.blif,/home/ayush/abc/blif/tbk.blif,0,0,232.0,220,1696,2464.0,1053.0,232.0,220,1696,2464.0,1053.0,,,,,,,,
tbk.blif,/home/ayush/abc/blif/tbk.blif,1,0,232.0,220,1083,2691.0,931.0,232.0,220,1696,2464.0,1053.0,0.0,0,-613,0.6385613207547169,227.0,1.0921266233766234,-122.0,0.8841405508072174
